Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
89,H,42013,Blue/Y,R PT,03000214A1,,F,,DUPLICATE COLOR CODE,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
90,H,42013,PURPLE PT,,0700EDDE1E,030003142F,,,formerly blue/g;R PT 030003142F - rebanded due to large growth on R leg,,,,,N,N,N,Y,N,,,,,,Y - F4H 11/11,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
91,H,42013,R PT,Blue/Y,030002E401,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
92,H,42013,R PT,Blue/Grey,0300025603,,,,,,,,,N,N,N,N,  ,,,,,,Y-F4H 9/11/15; F4H 11/6,,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
93,H,42013,R/S2720-43454,BLUE PT,0700EDDD15,,,adult,,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
94,H,42013,S2720-43456/R,BLUE PT,0700EE0988,,M,adult,,,,,BOX 27 H,N,N,N,Y,Y,,,,,,Y-F4H 11/6,,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
95,H,42084,Blue/Grey,R PT,030001E59A,,F,,Recaptured 8/21/15 with Black/LG;RPT (0700EE34A2),,,BOX 29-1 H,BOX UNKNOWN,N,N,N,Y,Y,,,,,,Y-F3H 8/21; F3H 10/2,,,,0,0,1,1,0,0,0,0,0,1,1,1,1,N
96,H,42084,Blue/O,R PT,03000336E9,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
97,H,42084,Blue/Y,R PT,0700EE2010,,F,,DUPLICATE COLOR CODE,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
98,H,42173,R PT,LG/Blue,030002F09C,,F,adult,,,BOX B5-1; BOX B9 H,BOX B5-1 H,BOX B11 H,N,N,Y,N,,,,,,,,,,,0,1,1,1,0,0,0,1,1,1,0,1,1,N
99,H,42173,R PT,LB/Blue,03000241BF,,F,adult,,,,,BOX B30 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
100,H,42173,R PT,G/Blue,0700EE429E,,M,adult,,,,,BOX B30 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
101,H,42178,R PT,Y/Blue,030003A2AF,,F,adult,,,,BOX B5-1 H,BOX B5-1 H,N,N,N,N,,,,,,,Y-F1H 11/4/15,,,,0,0,1,1,0,0,0,0,0,1,1,1,1,N
102,H,42179,Black/Blue,R PT,030002434A,,F,adult,,,,,BOX 13 H,N,N,N,N,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,N
103,H,42179,G/Blue,R PT,0700EE085D,,F,adult,,,,,BOX 7 H,N,Y,N,N,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,1,1,N
